iter	Passed	Remaining
409	4182	6019
410	4192	6008
411	4203	5999
412	4213	5988
413	4222	5976
414	4232	5966
415	4241	5954
416	4251	5943
417	4260	5931
418	4269	5920
419	4279	5909
420	4288	5898
421	4299	5888
422	4307	5875
423	4318	5866
424	4328	5855
425	4336	5843
426	4347	5834
427	4356	5821
428	4365	5810
429	4374	5798
430	4382	5785
431	4391	5774
432	4401	5763
433	4410	5751
434	4418	5739
435	4427	5727
436	4436	5715
437	4447	5706
438	4456	5695
439	4464	5682
440	4474	5672
441	4484	5661
442	4493	5650
443	4502	5638
444	4512	5627
445	4522	5617
446	4531	5605
447	4541	5595
448	4550	5584
449	4559	5572
450	4567	5559
451	4576	5548
452	4585	5536
453	4594	5526
454	4607	5518
455	4617	5508
456	4625	5495
457	4635	5485
458	4643	5473
459	4653	5462
460	4661	5450
461	4669	5437
462	4678	5425
463	4686	5413
464	4695	5402
465	4704	5391
466	4714	5380
467	4723	5369
468	4732	5358
469	4741	5346
470	4750	5335
471	4759	5324
472	4770	5314
473	4780	5304
474	4789	5293
475	4798	5282
476	4807	5271
477	4817	5260
478	4826	5249
479	4835	5237
480	4844	5226
481	4853	5216
482	4862	5205
483	4871	5193
484	4880	5182
485	4888	5170
486	4904	5166
487	4914	5155
488	4922	5144
489	4932	5134
490	4942	5123
491	4950	5111
492	4960	5101
493	4969	5089
494	4979	5079
495	4987	5067
496	4998	5058
497	5009	5050
498	5019	5040
499	5030	5030
500	5039	5019
501	5049	5009
502	5060	5000
503	5070	4990
504	5080	4980
505	5090	4970
506	5100	4959
507	5111	4950
508	5120	4939
509	5129	4928
510	5139	4918
511	5149	4908
512	5160	4898
513	5168	4887
514	5179	4877
515	5191	4869
516	5200	4858
517	5212	4849
518	5223	4840
519	5232	4829
520	5242	4820
521	5252	4810
522	5262	4799
523	5272	4789
524	5281	4778
525	5292	4768
526	5301	4758
527	5310	4747
528	5321	4737
529	5330	4727
530	5340	4717
531	5350	4706
532	5359	4696
533	5370	4686
534	5378	4674
535	5388	4665
536	5398	4654
537	5408	4644
538	5420	4636
539	5431	4627
540	5441	4616
541	5451	4606
542	5460	4595
543	5470	4585
544	5479	4574
545	5488	4563
546	5498	4553
547	5507	4542
548	5517	4532
549	5526	4522
550	5536	4511
551	5545	4501
552	5554	4489
553	5565	4480
554	5575	4470
555	5586	4461
556	5595	4450
557	5604	4439
558	5616	4430
559	5625	4420
560	5635	4409
561	5644	4399
562	5654	4388
563	5664	4378
564	5673	4368
565	5684	4358
566	5695	4349
567	5704	4338
568	5715	4329
569	5724	4318
570	5735	4309
571	5746	4299
572	5755	4289
573	5765	4278
574	5774	4268
575	5784	4257
576	5794	4247
577	5803	4236
578	5818	4230
579	5830	4221
580	5840	4211
581	5850	4201
582	5860	4192
583	5869	4180
584	5879	4170
585	5887	4159
586	5898	4150
587	5908	4139
588	5917	4129
589	5928	4119
590	5939	4110
591	5949	4100
592	5959	4089
593	5967	4078
594	5977	4068
595	5985	4057
596	5994	4046
597	6003	4035
598	6013	4025
599	6023	4015
600	6032	4004
601	6043	3995
602	6053	3985
603	6063	3975
604	6074	3965
605	6082	3954
606	6092	3944
607	6102	3934
608	6112	3924
609	6123	3914
610	6131	3903
611	6142	3894
612	6151	3883
613	6161	3873
614	6171	3863
615	6180	3852
616	6197	3847
617	6208	3837
618	6219	3828
619	6228	3817
620	6239	3807
621	6250	3798
622	6258	3787
623	6267	3776
624	6276	3765
625	6285	3755
626	6293	3744
627	6302	3733
628	6311	3722
629	6321	3712
630	6329	3701
631	6338	3690
632	6347	3680
633	6357	3670
634	6368	3660
635	6377	3650
636	6386	3639
637	6396	3629
638	6403	3617
639	6412	3607
640	6421	3596
641	6429	3585
642	6439	3575
643	6448	3564
644	6457	3554
645	6466	3543
646	6475	3532
647	6484	3522
648	6493	3511
649	6501	3500
650	6509	3489
651	6518	3479
652	6527	3468
653	6536	3458
654	6546	3448
655	6554	3437
656	6564	3426
657	6573	3416
658	6581	3405
659	6591	3395
660	6601	3385
661	6611	3375
662	6621	3365
663	6631	3355
664	6641	3345
665	6651	3335
666	6662	3326
667	6671	3315
668	6682	3306
669	6694	3297
670	6703	3286
671	6715	3277
672	6726	3268
673	6737	3258
674	6747	3249
675	6759	3239
676	6770	3230
677	6781	3220
678	6792	3211
679	6802	3201
680	6814	3191
681	6825	3182
682	6835	3172
683	6844	3162
684	6855	3152
685	6866	3142
686	6876	3133
687	6886	3122
688	6897	3113
689	6907	3103
690	6916	3092
691	6925	3082
692	6934	3071
693	6943	3061
694	6952	3050
695	6960	3040
696	6970	3030
697	6979	3019
698	6989	3009
699	6998	2999
700	7009	2989
701	7019	2979
702	7029	2969
703	7039	2959
704	7048	2949
705	7057	2939
706	7068	2929
707	7079	2919
708	7088	2909
709	7098	2899
710	7108	2889
711	7119	2879
712	7128	2869
713	7140	2860
714	7149	2849
715	7158	2839
716	7168	2829
717	7178	2819
718	7189	2809
719	7199	2799
720	7209	2789
721	7218	2779
722	7227	2768
723	7237	2759
724	7247	2749
725	7257	2739
726	7266	2728
727	7275	2718
728	7286	2708
729	7296	2698
730	7304	2687
731	7313	2677
732	7322	2667
733	7332	2657
734	7340	2646
735	7350	2636
736	7358	2625
737	7367	2615
738	7376	2605
739	7385	2594
740	7395	2584
741	7403	2574
742	7413	2564
743	7425	2554
744	7435	2544
745	7445	2535
746	7453	2524
747	7463	2514
748	7473	2504
749	7485	2495
750	7495	2485
751	7504	2474
752	7514	2465
753	7525	2455
754	7534	2444
755	7545	2435
756	7554	2424
757	7563	2414
758	7573	2404
759	7583	2394
760	7594	2385
761	7603	2374
762	7612	2364
763	7622	2354
764	7632	2344
765	7642	2334
766	7651	2324
767	7662	2314
768	7671	2304
769	7680	2294
770	7690	2284
771	7699	2273
772	7709	2263
773	7717	2253
774	7726	2243
775	7735	2232
776	7742	2222
777	7751	2211
778	7760	2201
779	7770	2191
780	7778	2181
781	7788	2171
782	7796	2160
783	7805	2150
784	7813	2140
785	7821	2129
786	7830	2119
787	7839	2108
788	7847	2098
789	7856	2088
790	7866	2078
791	7874	2068
792	7884	2058
793	7893	2047
794	7903	2038
795	7911	2027
796	7919	2017
797	7927	2006
798	7936	1996
799	7943	1985
800	7952	1975
801	7960	1965
802	7970	1955
803	7978	1944
804	7987	1934
805	7997	1924
806	8005	1914
807	8014	1904
808	8022	1894
809	8031	1883
810	8039	1873
811	8048	1863
812	8056	1853
813	8065	1843
814	8075	1833
815	8084	1822
816	8092	1812
817	8101	1802
818	8109	1792
819	8119	1782
820	8129	1772
821	8137	1762
822	8146	1752
823	8155	1741
824	8164	1731
825	8172	1721
826	8182	1711
827	8191	1701
828	8200	1691
829	8210	1681
830	8220	1671
831	8230	1661
832	8239	1651
833	8250	1642
834	8260	1632
835	8271	1622
836	8282	1613
837	8294	1603
838	8306	1594
839	8317	1584
840	8329	1574
841	8337	1564
842	8346	1554
843	8355	1544
844	8363	1534
845	8372	1524
846	8381	1514
847	8392	1504
848	8404	1494
849	8414	1484
850	8425	1475
851	8434	1465
852	8446	1455
853	8456	1445
854	8466	1435
855	8477	1426
856	8489	1416
857	8498	1406
858	8509	1396
859	8520	1387
860	8531	1377
861	8541	1367
862	8551	1357
863	8561	1347
864	8572	1337
865	8581	1327
866	8593	1318
867	8605	1308
868	8618	1299
869	8628	1289
870	8638	1279
871	8649	1269
872	8658	1259
873	8668	1249
874	8677	1239
875	8688	1229
876	8696	1219
877	8705	1209
878	8714	1199
879	8725	1189
880	8736	1180
881	8746	1170
882	8757	1160
883	8766	1150
884	8775	1140
885	8785	1130
886	8796	1120
887	8805	1110
888	8816	1100
889	8827	1091
890	8837	1081
891	8847	1071
892	8856	1061
893	8865	1051
894	8874	1041
895	8883	1031
896	8891	1020
897	8901	1011
898	8909	1000
899	8919	991
900	8928	981
901	8937	971
902	8947	961
903	8955	951
904	8965	941
905	8973	931
906	8981	920
907	8990	910
908	8999	900
909	9008	890
910	9016	880
911	9025	870
912	9034	860
913	9045	851
914	9054	841
915	9063	831
916	9071	821
917	9080	811
918	9090	801
919	9098	791
920	9107	781
921	9116	771
922	9125	761
923	9134	751
924	9144	741
925	9153	731
926	9162	721
927	9170	711
928	9179	701
929	9188	691
930	9197	681
931	9207	671
932	9215	661
933	9225	651
934	9233	641
935	9242	631
936	9251	622
937	9261	612
938	9270	602
939	9279	592
940	9289	582
941	9297	572
942	9306	562
943	9315	552
944	9324	542
945	9335	532
946	9343	522
947	9352	513
948	9362	503
949	9372	493
950	9381	483
951	9390	473
952	9398	463
953	9412	453
954	9421	443
955	9429	433
956	9437	424
957	9445	414
958	9455	404
959	9463	394
960	9473	384
961	9482	374
962	9490	364
963	9499	354
964	9508	344
965	9518	335
966	9526	325
967	9536	315
968	9544	305
969	9554	295
970	9563	285
971	9572	275
972	9582	265
973	9590	256
974	9602	246
975	9611	236
976	9620	226
977	9629	216
978	9637	206
979	9647	196
980	9656	187
981	9666	177
982	9675	167
983	9684	157
984	9692	147
985	9701	137
986	9710	127
987	9718	118
988	9727	108
989	9735	98
990	9744	88
991	9753	78
992	9762	68
993	9770	58
994	9779	49
995	9788	39
996	9798	29
997	9807	19
998	9816	9
999	9825	0
