iter	Logloss
0	0.6605043819
1	0.6315627032
2	0.6041137861
3	0.5802000667
4	0.5583931994
5	0.5384702367
6	0.5195241856
7	0.5034023609
8	0.4881767581
9	0.4740499075
10	0.4608622074
11	0.4490164608
12	0.4384318265
13	0.4288219702
14	0.4195430763
15	0.411180665
16	0.4035422746
17	0.3960022579
18	0.3895677937
19	0.3834119747
20	0.3778073714
21	0.3726439571
22	0.3677270626
23	0.3634563334
24	0.3596523613
25	0.3556203159
26	0.3516229243
27	0.3479273461
28	0.3445257661
29	0.3413979233
30	0.3385460134
31	0.3365342142
32	0.3337311374
33	0.3314471121
34	0.329733902
35	0.3268918882
36	0.3242310209
37	0.3225570164
38	0.320960445
39	0.3194858912
40	0.3173310167
41	0.3154615854
42	0.3141188693
43	0.3128532465
44	0.3111544155
45	0.3097097269
46	0.3076772328
47	0.3068724098
48	0.3055045709
49	0.3044704596
50	0.3030666579
51	0.30119332
52	0.3003774662
53	0.299744695
54	0.2986261918
55	0.2980424903
56	0.2974208967
57	0.2964039228
58	0.2956496852
59	0.2951109471
60	0.2946033214
61	0.2937903545
62	0.2930963047
63	0.2919166583
64	0.2912633851
65	0.2905131345
66	0.2900257329
67	0.2894101197
68	0.2888628956
69	0.2882266151
70	0.2876103313
71	0.286372562
72	0.2859134663
73	0.2853969847
74	0.2848900227
75	0.2844465487
76	0.2838566509
77	0.2833717525
78	0.2829228217
79	0.2820634308
80	0.2816950541
81	0.2812545841
82	0.280819766
83	0.2804119608
84	0.2799726758
85	0.2794711017
86	0.2791132321
87	0.2787464677
88	0.2784100945
89	0.2780741554
90	0.2775449896
91	0.2769056891
92	0.2763180581
93	0.2758931844
94	0.275373901
95	0.2750437723
96	0.2746657981
97	0.2743271467
98	0.2738455716
99	0.2734470494
100	0.2729106814
101	0.272326176
102	0.27161091
103	0.2713133613
104	0.2710500622
105	0.2703646936
106	0.2699096101
107	0.2692482619
108	0.2686147925
109	0.2682422957
110	0.2679068734
111	0.2675591663
112	0.2671377812
113	0.2667336851
114	0.2661557964
115	0.2657290372
116	0.2652171466
117	0.264892941
118	0.2646397494
119	0.2642541021
120	0.2639783208
121	0.2637303816
122	0.2634137984
123	0.2631168974
124	0.2626730398
125	0.2623242396
126	0.2620040048
127	0.2616949524
128	0.2613405966
129	0.261041461
130	0.2607469668
131	0.2605405069
132	0.2603288865
133	0.2600589663
134	0.2596920066
135	0.2594681039
136	0.2591953289
137	0.2589169134
138	0.2586649436
139	0.258272806
140	0.2579712038
141	0.2576382297
142	0.2573048444
143	0.2569250122
144	0.2565691521
145	0.2563469696
146	0.2560102932
147	0.2557641752
148	0.2554139672
149	0.2551353634
150	0.2549192829
151	0.2545418438
152	0.2543516417
153	0.2537986163
154	0.2535710895
155	0.2533068556
156	0.2530089165
157	0.2528476543
158	0.2525922579
159	0.2521885453
160	0.2518022297
161	0.2514337796
162	0.2510448596
163	0.2509045564
164	0.2505207992
165	0.25023548
166	0.2499998817
167	0.2497950375
168	0.249623878
169	0.2493275052
170	0.2491934729
171	0.2489290507
172	0.2488154044
173	0.2485706081
174	0.248344403
175	0.2481942989
176	0.2479047471
177	0.2477786186
178	0.2475706223
179	0.2473271075
180	0.2470866392
181	0.2468248961
182	0.2467908417
183	0.2464887147
184	0.2463191697
185	0.2460989209
186	0.2456472145
187	0.2453926162
188	0.2452104237
189	0.2449451012
190	0.2446700963
191	0.244456394
192	0.2442528738
193	0.2440435684
194	0.243803262
195	0.2433951365
196	0.243221601
197	0.2429596593
198	0.2426900456
199	0.2424447773
200	0.2420386441
201	0.2418607061
202	0.2415803373
203	0.2413376642
204	0.2410822506
205	0.2407312433
206	0.2405038543
207	0.2403497656
208	0.2401223237
209	0.2399069954
210	0.2396939523
211	0.2395134604
212	0.2393011682
213	0.2391192696
214	0.2389564618
215	0.2388079653
216	0.23866067
217	0.2385620953
218	0.2383373669
219	0.2380784027
220	0.2378415837
221	0.2377679688
222	0.2375403972
223	0.2374092403
224	0.2371348255
